"","entity_name","iso3c","year","p10","p90","population","continent"
"235","Bosnia and Herzegovina","BIH",2018,NA,NA,3400132,NA
"236","Botswana","BWA",2017,NA,NA,2401848,NA
"237","Botswana","BWA",2018,NA,NA,2451411,NA
"238","British Virgin Islands","VGB",2017,NA,NA,30084,NA
"239","British Virgin Islands","VGB",2018,NA,NA,30359,NA
"240","Brunei","BRN",2017,NA,NA,430290,NA
"241","Brunei","BRN",2018,NA,NA,434283,NA
"242","Burkina Faso","BFA",2017,NA,NA,19835860,NA
"243","Burundi","BDI",2017,NA,NA,11155592,NA
"244","Burundi","BDI",2018,NA,NA,11493476,NA
"245","Cambodia","KHM",2017,NA,NA,15830694,NA
"246","Cambodia","KHM",2018,NA,NA,16025242,NA
"247","Cameroon","CMR",2017,NA,NA,24393182,NA
"248","Cameroon","CMR",2018,NA,NA,25076752,NA
"249","Canada","CAN",2018,NA,NA,37035260,NA
"250","Cape Verde","CPV",2017,NA,NA,564959,NA
"251","Cape Verde","CPV",2018,NA,NA,571209,NA
"252","Cayman Islands","CYM",2017,NA,NA,63601,NA
"253","Cayman Islands","CYM",2018,NA,NA,64904,NA
"254","Central African Republic","CAF",2017,NA,NA,4996741,NA
"255","Central African Republic","CAF",2018,NA,NA,5094795,NA
"256","Chad","TCD",2017,NA,NA,15085893,NA
"257","Chile","CHL",2018,NA,NA,18701452,NA
"258","Comoros","COM",2017,NA,NA,761672,NA
"259","Comoros","COM",2018,NA,NA,776322,NA
"260","Congo","COG",2017,NA,NA,5312347,NA
"261","Congo","COG",2018,NA,NA,5441061,NA
"262","Cook Islands","COK",2017,NA,NA,17417,NA
"263","Cook Islands","COK",2018,NA,NA,17276,NA
"264","Cote d'Ivoire","CIV",2017,NA,NA,24848024,NA
"265","Cuba","CUB",2017,NA,NA,11336405,NA
"266","Cuba","CUB",2018,NA,NA,11328243,NA
"267","Curacao","CUW",2017,NA,NA,171543,NA
"268","Curacao","CUW",2018,NA,NA,184734,NA
"269","Democratic Republic of Congo","COD",2017,NA,NA,84283272,NA
"270","Democratic Republic of Congo","COD",2018,NA,NA,87087352,NA
"271","Djibouti","DJI",2018,NA,NA,1057204,NA
"272","Dominica","DMA",2017,NA,NA,70422,NA
"273","Dominica","DMA",2018,NA,NA,70840,NA
"274","Egypt","EGY",2018,NA,NA,103740768,NA
"275","Equatorial Guinea","GNQ",2017,NA,NA,1450703,NA
"276","Equatorial Guinea","GNQ",2018,NA,NA,1502102,NA
"277","Eritrea","ERI",2017,NA,NA,3396933,NA
"278","Eritrea","ERI",2018,NA,NA,3445380,NA
"279","Eswatini","SWZ",2017,NA,NA,1151397,NA
"280","Eswatini","SWZ",2018,NA,NA,1160430,NA
"281","Ethiopia","ETH",2017,NA,NA,108197944,NA
"282","Ethiopia","ETH",2018,NA,NA,111129440,NA
"283","Europe",NA,2017,NA,NA,745660047,NA
"284","Europe",NA,2018,NA,NA,746577709,NA
"285","Europe (UN)",NA,2017,NA,NA,744449344,NA
"286","Europe (UN)",NA,2018,NA,NA,745359104,NA
"287","European Union (27)",NA,2017,NA,NA,443746907,NA
"288","European Union (27)",NA,2018,NA,NA,444343250,NA
"289","Faeroe Islands","FRO",2017,NA,NA,50259,NA
"290","Faeroe Islands","FRO",2018,NA,NA,50978,NA
